"checking_account","duration_months","credit_history","purpose","credit_amount","savings","present_employment_since","installment_rate","personal_status_sex","other_deptors","present_residence","property","age_years","other_installment_plans","housing","existing_credits","job","people_liable_maintenance","telephone","foreign_worker","response"
"No checking account",36,"delay in paying off in the past","business",9572,"... <  51 euro","... < 1 year",1,"male   : divorced/separated","none",1,"(if not optin 1 or 2) car or other, not in attribute",28,"none","own",2,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",36,"delay in paying off in the past","business",4455,"... <  51 euro","1  <= ... < 4 years",2,"male   : divorced/separated","none",2,"real estate",30,"stores","own",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","1"
"... <  0 euro",21,"all credits at this bank paid back duly","car (new)",1647,"unknown/ no savings account","1  <= ... < 4 years",4,"male   : single","none",2,"(if not real estate) building society savings agreement/ life insurance",40,"none","own",2,"unskilled - resident",2,"none","yes","1"
"No checking account",24,"critical account/other credits existing (not at this bank)","furniture/equipment",3777,".. >= 511 euro","1  <= ... < 4 years",4,"male   : single","none",4,"real estate",50,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",18,"critical account/other credits existing (not at this bank)","car (new)",884,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",36,"bank","own",1,"skilled employee / official",2,"yes, registered under the customers name","yes","1"
"No checking account",15,"critical account/other credits existing (not at this bank)","radio/television",1360,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",2,"(if not real estate) building society savings agreement/ life insurance",31,"none","own",2,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",9,"all credits at this bank paid back duly","car (used)",5129,"... <  51 euro",".. >= 7 years",2,"female : divorced/separated/married","none",4,"unknown / no property",74,"bank","for free",1,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","1"
"0 <= ... <  102 euro",16,"critical account/other credits existing (not at this bank)","car (new)",1175,"... <  51 euro","unemployed",2,"male   : single","none",3,"(if not optin 1 or 2) car or other, not in attribute",68,"none","for free",3,"unemployed/ unskilled  - non-resident",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",12,"existing credits paid back duly till now","radio/television",674,"51 <= ... <  255 euro","4  <= ... < 7 years",4,"male   : married/widowed","none",1,"(if not real estate) building society savings agreement/ life insurance",20,"none","own",1,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",18,"no credits taken/ all credits paid back duly","furniture/equipment",3244,"... <  51 euro","1  <= ... < 4 years",1,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",33,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",24,"existing credits paid back duly till now","business",4591,".. >= 511 euro","1  <= ... < 4 years",2,"male   : single","none",3,"(if not real estate) building society savings agreement/ life insurance",54,"none","own",3,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","1"
"0 <= ... <  102 euro",48,"no credits taken/ all credits paid back duly","business",3844,"51 <= ... <  255 euro","4  <= ... < 7 years",4,"male   : single","none",4,"unknown / no property",34,"none","for free",1,"unskilled - resident",2,"none","yes","1"
"0 <= ... <  102 euro",27,"existing credits paid back duly till now","business",3915,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",36,"none","own",1,"skilled employee / official",2,"yes, registered under the customers name","yes","1"
"No checking account",6,"existing credits paid back duly till now","radio/television",2108,"... <  51 euro","4  <= ... < 7 years",2,"male   : married/widowed","none",2,"real estate",29,"none","rent",1,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",45,"existing credits paid back duly till now","radio/television",3031,"51 <= ... <  255 euro","1  <= ... < 4 years",4,"male   : single","guarantor",4,"(if not real estate) building society savings agreement/ life insurance",21,"none","rent",1,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",9,"critical account/other credits existing (not at this bank)","education",1501,"... <  51 euro",".. >= 7 years",2,"female : divorced/separated/married","none",3,"(if not optin 1 or 2) car or other, not in attribute",34,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","1"
"No checking account",6,"critical account/other credits existing (not at this bank)","radio/television",1382,"... <  51 euro","1  <= ... < 4 years",1,"female : divorced/separated/married","none",1,"(if not optin 1 or 2) car or other, not in attribute",28,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",12,"existing credits paid back duly till now","furniture/equipment",951,"51 <= ... <  255 euro","... < 1 year",4,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",27,"bank","rent",4,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",24,"existing credits paid back duly till now","car (used)",2760,"unknown/ no savings account",".. >= 7 years",4,"male   : single","none",4,"unknown / no property",36,"bank","for free",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",18,"delay in paying off in the past","furniture/equipment",4297,"... <  51 euro",".. >= 7 years",4,"male   : divorced/separated","none",3,"unknown / no property",40,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","1"
"No checking account",9,"critical account/other credits existing (not at this bank)","education",936,"255 euro <= ... < 511 euro",".. >= 7 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",52,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",12,"existing credits paid back duly till now","car (new)",1168,"... <  51 euro","1  <= ... < 4 years",4,"male   : married/widowed","none",3,"real estate",27,"none","own",1,"unskilled - resident",1,"none","yes","0"
"No checking account",27,"delay in paying off in the past","business",5117,"... <  51 euro","4  <= ... < 7 years",3,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",26,"none","own",2,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",12,"existing credits paid back duly till now","retraining",902,"... <  51 euro","4  <= ... < 7 years",4,"male   : married/widowed","none",4,"(if not real estate) building society savings agreement/ life insurance",21,"none","rent",1,"skilled employee / official",1,"none","yes","1"
"No checking account",12,"critical account/other credits existing (not at this bank)","car (new)",1495,"... <  51 euro",".. >= 7 years",4,"male   : single","none",1,"real estate",38,"none","own",2,"unskilled - resident",2,"none","yes","0"
"... <  0 euro",30,"critical account/other credits existing (not at this bank)","car (used)",10623,"... <  51 euro",".. >= 7 years",3,"male   : single","none",4,"unknown / no property",38,"none","for free",3,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","0"
"No checking account",12,"critical account/other credits existing (not at this bank)","furniture/equipment",1935,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"real estate",43,"none","own",3,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",12,"critical account/other credits existing (not at this bank)","domestic appliances",1424,"... <  51 euro","4  <= ... < 7 years",4,"male   : single","none",3,"(if not real estate) building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",24,"existing credits paid back duly till now","business",6568,"... <  51 euro","1  <= ... < 4 years",2,"male   : married/widowed","none",2,"(if not optin 1 or 2) car or other, not in attribute",21,"stores","own",1,"unskilled - resident",1,"none","yes","0"
"No checking account",12,"existing credits paid back duly till now","car (used)",1413,".. >= 511 euro","4  <= ... < 7 years",3,"male   : single","none",2,"(if not real estate) building society savings agreement/ life insurance",55,"none","own",1,"skilled employee / official",1,"none","no","0"
"No checking account",9,"critical account/other credits existing (not at this bank)","radio/television",3074,"unknown/ no savings account","1  <= ... < 4 years",1,"male   : single","none",2,"real estate",33,"none","own",2,"skilled employee / official",2,"none","yes","0"
"No checking account",36,"existing credits paid back duly till now","radio/television",3835,"unknown/ no savings account",".. >= 7 years",2,"female : divorced/separated/married","none",4,"real estate",45,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",27,"no credits taken/ all credits paid back duly","business",5293,"... <  51 euro","unemployed",2,"male   : single","none",4,"(if not real estate) building society savings agreement/ life insurance",50,"stores","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
">= 102 euro",30,"delay in paying off in the past","business",1908,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"real estate",66,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","1"
"No checking account",36,"critical account/other credits existing (not at this bank)","radio/television",3342,"unknown/ no savings account",".. >= 7 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",51,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",6,"critical account/other credits existing (not at this bank)","retraining",932,"unknown/ no savings account","4  <= ... < 7 years",1,"female : divorced/separated/married","none",3,"(if not real estate) building society savings agreement/ life insurance",39,"none","own",2,"unskilled - resident",1,"none","yes","0"
"... <  0 euro",18,"no credits taken/ all credits paid back duly","business",3104,"... <  51 euro","4  <= ... < 7 years",3,"male   : single","none",1,"(if not real estate) building society savings agreement/ life insurance",31,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
">= 102 euro",36,"existing credits paid back duly till now","radio/television",3913,"... <  51 euro","1  <= ... < 4 years",2,"male   : single","none",2,"real estate",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",24,"existing credits paid back duly till now","furniture/equipment",3021,"... <  51 euro","1  <= ... < 4 years",2,"male   : divorced/separated","none",2,"real estate",24,"none","rent",1,"unskilled - resident",1,"none","yes","0"
"No checking account",10,"existing credits paid back duly till now","car (new)",1364,"... <  51 euro","1  <= ... < 4 years",2,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",64,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",12,"existing credits paid back duly till now","radio/television",625,"... <  51 euro","... < 1 year",4,"male   : married/widowed","guarantor",1,"real estate",26,"bank","own",1,"unskilled - resident",1,"none","yes","0"
"... <  0 euro",12,"existing credits paid back duly till now","education",1200,"unknown/ no savings account","1  <= ... < 4 years",4,"female : divorced/separated/married","none",4,"(if not real estate) building society savings agreement/ life insurance",23,"bank","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",12,"existing credits paid back duly till now","radio/television",707,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",2,"real estate",30,"bank","own",2,"skilled employee / official",1,"none","yes","0"
"No checking account",24,"delay in paying off in the past","business",2978,"unknown/ no savings account","1  <= ... < 4 years",4,"male   : single","none",4,"real estate",32,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","yes","0"
"No checking account",15,"existing credits paid back duly till now","car (used)",4657,"... <  51 euro","1  <= ... < 4 years",3,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",30,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",36,"no credits taken/ all credits paid back duly","repairs",2613,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",27,"none","own",2,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",48,"existing credits paid back duly till now","radio/television",10961,".. >= 511 euro","4  <= ... < 7 years",1,"male   : single","co-applicant",2,"unknown / no property",27,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"... <  0 euro",12,"existing credits paid back duly till now","furniture/equipment",7865,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"unknown / no property",53,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","1"
"No checking account",9,"existing credits paid back duly till now","radio/television",1478,"... <  51 euro","4  <= ... < 7 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",22,"none","own",1,"skilled employee / official",1,"none","yes","1"
"... <  0 euro",24,"existing credits paid back duly till now","furniture/equipment",3149,"... <  51 euro","... < 1 year",4,"male   : single","none",1,"unknown / no property",22,"bank","for free",1,"skilled employee / official",1,"none","yes","0"
">= 102 euro",36,"existing credits paid back duly till now","radio/television",4210,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",26,"none","own",1,"skilled employee / official",1,"none","yes","1"
"No checking account",9,"existing credits paid back duly till now","car (new)",2507,"255 euro <= ... < 511 euro",".. >= 7 years",2,"male   : single","none",4,"unknown / no property",51,"none","for free",1,"unskilled - resident",1,"none","yes","0"
"No checking account",12,"existing credits paid back duly till now","radio/television",2141,"51 <= ... <  255 euro","4  <= ... < 7 years",3,"male   : single","none",1,"unknown / no property",35,"none","own",1,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",18,"existing credits paid back duly till now","radio/television",866,"... <  51 euro","1  <= ... < 4 years",4,"male   : married/widowed","guarantor",2,"real estate",25,"none","own",1,"unskilled - resident",1,"none","yes","0"
"No checking account",4,"critical account/other credits existing (not at this bank)","radio/television",1544,"... <  51 euro","4  <= ... < 7 years",2,"male   : single","none",1,"real estate",42,"none","own",3,"unskilled - resident",2,"none","yes","0"
"... <  0 euro",24,"existing credits paid back duly till now","radio/television",1823,"... <  51 euro","unemployed",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",30,"stores","own",1,"management/ self-employed/highly qualified employee/ officer",2,"none","yes","1"
"0 <= ... <  102 euro",6,"existing credits paid back duly till now","car (new)",14555,"unknown/ no savings account","unemployed",1,"male   : single","none",2,"(if not real estate) building society savings agreement/ life insurance",23,"none","own",1,"unemployed/ unskilled  - non-resident",1,"yes, registered under the customers name","yes","1"
"0 <= ... <  102 euro",21,"existing credits paid back duly till now","business",2767,"51 <= ... <  255 euro",".. >= 7 years",4,"male   : divorced/separated","none",2,"(if not optin 1 or 2) car or other, not in attribute",61,"bank","rent",2,"unskilled - resident",1,"none","yes","1"
"No checking account",12,"critical account/other credits existing (not at this bank)","radio/television",1291,"... <  51 euro","1  <= ... < 4 years",4,"female : divorced/separated/married","none",2,"(if not real estate) building society savings agreement/ life insurance",35,"none","own",2,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",30,"existing credits paid back duly till now","radio/television",2522,"... <  51 euro",".. >= 7 years",1,"male   : single","guarantor",3,"(if not real estate) building society savings agreement/ life insurance",39,"none","own",1,"skilled employee / official",2,"none","yes","0"
"... <  0 euro",24,"existing credits paid back duly till now","car (new)",915,"unknown/ no savings account",".. >= 7 years",4,"female : divorced/separated/married","none",2,"(if not optin 1 or 2) car or other, not in attribute",29,"bank","own",1,"skilled employee / official",1,"none","yes","1"
"No checking account",6,"existing credits paid back duly till now","radio/television",1595,"... <  51 euro","4  <= ... < 7 years",3,"male   : single","none",2,"(if not real estate) building society savings agreement/ life insurance",51,"none","own",1,"skilled employee / official",2,"none","yes","0"
"... <  0 euro",48,"no credits taken/ all credits paid back duly","car (used)",4605,"... <  51 euro",".. >= 7 years",3,"male   : single","none",4,"unknown / no property",24,"none","for free",2,"skilled employee / official",2,"none","yes","1"
"No checking account",12,"critical account/other credits existing (not at this bank)","business",1185,"... <  51 euro","1  <= ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",27,"none","own",2,"skilled employee / official",1,"none","yes","0"
"No checking account",12,"all credits at this bank paid back duly","retraining",3447,"255 euro <= ... < 511 euro","1  <= ... < 4 years",4,"female : divorced/separated/married","none",3,"real estate",35,"none","own",1,"unskilled - resident",2,"none","yes","0"
"No checking account",24,"existing credits paid back duly till now","business",1258,"... <  51 euro","4  <= ... < 7 years",4,"male   : single","none",1,"real estate",25,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",12,"critical account/other credits existing (not at this bank)","radio/television",717,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"real estate",52,"none","own",3,"skilled employee / official",1,"none","yes","0"
"No checking account",6,"no credits taken/ all credits paid back duly","car (new)",1204,"51 <= ... <  255 euro","1  <= ... < 4 years",4,"male   : single","none",1,"unknown / no property",35,"bank","rent",1,"skilled employee / official",1,"none","no","0"
">= 102 euro",24,"existing credits paid back duly till now","furniture/equipment",1925,"... <  51 euro","1  <= ... < 4 years",2,"male   : single","none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"none","yes","0"
"No checking account",18,"existing credits paid back duly till now","radio/television",433,"... <  51 euro","unemployed",3,"female : divorced/separated/married","co-applicant",4,"real estate",22,"none","rent",1,"skilled employee / official",1,"none","yes","1"
"... <  0 euro",6,"critical account/other credits existing (not at this bank)","car (new)",666,".. >= 511 euro","4  <= ... < 7 years",3,"female : divorced/separated/married","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"yes, registered under the customers name","yes","0"
">= 102 euro",12,"existing credits paid back duly till now","furniture/equipment",2251,"... <  51 euro","1  <= ... < 4 years",1,"female : divorced/separated/married","none",2,"(if not optin 1 or 2) car or other, not in attribute",46,"none","own",1,"unskilled - resident",1,"none","yes","0"
"0 <= ... <  102 euro",30,"existing credits paid back duly till now","car (new)",2150,"... <  51 euro","1  <= ... < 4 years",4,"female : divorced/separated/married","guarantor",2,"unknown / no property",24,"bank","own",1,"skilled employee / official",1,"none","yes","1"
"No checking account",24,"delay in paying off in the past","furniture/equipment",4151,"51 <= ... <  255 euro","1  <= ... < 4 years",2,"male   : single","none",3,"(if not real estate) building society savings agreement/ life insurance",35,"none","own",2,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",9,"existing credits paid back duly till now","furniture/equipment",2030,"unknown/ no savings account","4  <= ... < 7 years",2,"male   : single","none",1,"(if not optin 1 or 2) car or other, not in attribute",24,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",60,"delay in paying off in the past","radio/television",7418,"unknown/ no savings account","1  <= ... < 4 years",1,"male   : single","none",1,"real estate",27,"none","own",1,"unskilled - resident",1,"none","yes","0"
"No checking account",24,"critical account/other credits existing (not at this bank)","radio/television",2684,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",2,"real estate",35,"none","own",2,"unskilled - resident",1,"none","yes","0"
"... <  0 euro",12,"all credits at this bank paid back duly","radio/television",2149,"... <  51 euro","1  <= ... < 4 years",4,"male   : divorced/separated","none",1,"unknown / no property",29,"none","for free",1,"skilled employee / official",1,"none","yes","1"
"No checking account",15,"existing credits paid back duly till now","car (used)",3812,"51 <= ... <  255 euro","... < 1 year",1,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",11,"critical account/other credits existing (not at this bank)","radio/television",1154,"51 <= ... <  255 euro","unemployed",4,"female : divorced/separated/married","none",4,"real estate",57,"none","own",3,"unskilled - resident",1,"none","yes","0"
"... <  0 euro",12,"existing credits paid back duly till now","furniture/equipment",1657,"... <  51 euro","1  <= ... < 4 years",2,"male   : single","none",2,"real estate",27,"none","own",1,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",24,"existing credits paid back duly till now","radio/television",1603,"... <  51 euro",".. >= 7 years",4,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",55,"none","own",1,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",18,"critical account/other credits existing (not at this bank)","car (new)",5302,"... <  51 euro",".. >= 7 years",2,"male   : single","none",4,"unknown / no property",36,"none","for free",3,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"No checking account",12,"critical account/other credits existing (not at this bank)","education",2748,"... <  51 euro",".. >= 7 years",2,"female : divorced/separated/married","none",4,"unknown / no property",57,"bank","for free",3,"unskilled - resident",1,"none","yes","0"
"No checking account",10,"critical account/other credits existing (not at this bank)","car (new)",1231,"... <  51 euro",".. >= 7 years",3,"male   : single","none",4,"real estate",32,"none","own",2,"unskilled - resident",2,"none","no","0"
"0 <= ... <  102 euro",15,"existing credits paid back duly till now","radio/television",802,"... <  51 euro",".. >= 7 years",4,"male   : single","none",3,"(if not optin 1 or 2) car or other, not in attribute",37,"none","own",1,"skilled employee / official",2,"none","yes","1"
"No checking account",36,"critical account/other credits existing (not at this bank)","business",6304,"unknown/ no savings account",".. >= 7 years",4,"male   : single","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"none","yes","0"
"No checking account",24,"existing credits paid back duly till now","radio/television",1533,"... <  51 euro","... < 1 year",4,"female : divorced/separated/married","none",3,"(if not optin 1 or 2) car or other, not in attribute",38,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",14,"existing credits paid back duly till now","car (new)",8978,"... <  51 euro",".. >= 7 years",1,"male   : divorced/separated","none",4,"(if not real estate) building society savings agreement/ life insurance",45,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","no","1"
"No checking account",24,"existing credits paid back duly till now","radio/television",999,"unknown/ no savings account",".. >= 7 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",25,"none","own",2,"skilled employee / official",1,"none","yes","0"
"No checking account",18,"existing credits paid back duly till now","car (new)",2662,"unknown/ no savings account","4  <= ... < 7 years",4,"male   : single","none",3,"(if not real estate) building society savings agreement/ life insurance",32,"none","own",1,"skilled employee / official",1,"none","no","0"
"No checking account",12,"critical account/other credits existing (not at this bank)","furniture/equipment",1402,"255 euro <= ... < 511 euro","4  <= ... < 7 years",3,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",37,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",48,"all credits at this bank paid back duly","car (new)",12169,"unknown/ no savings account","unemployed",4,"male   : single","co-applicant",4,"unknown / no property",36,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",48,"existing credits paid back duly till now","radio/television",3060,"... <  51 euro","4  <= ... < 7 years",4,"male   : single","none",4,"real estate",28,"none","own",2,"skilled employee / official",1,"none","yes","1"
"... <  0 euro",30,"existing credits paid back duly till now","repairs",11998,"... <  51 euro","... < 1 year",1,"male   : divorced/separated","none",1,"unknown / no property",34,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","1"
"No checking account",9,"existing credits paid back duly till now","radio/television",2697,"... <  51 euro","1  <= ... < 4 years",1,"male   : single","none",2,"real estate",32,"none","own",1,"skilled employee / official",2,"none","yes","0"
"No checking account",18,"critical account/other credits existing (not at this bank)","radio/television",2404,"... <  51 euro","1  <= ... < 4 years",2,"female : divorced/separated/married","none",2,"(if not optin 1 or 2) car or other, not in attribute",26,"none","own",2,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",12,"existing credits paid back duly till now","furniture/equipment",1262,"unknown/ no savings account",".. >= 7 years",2,"male   : divorced/separated","none",4,"(if not real estate) building society savings agreement/ life insurance",49,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","0"
"No checking account",6,"existing credits paid back duly till now","furniture/equipment",4611,"... <  51 euro","... < 1 year",1,"female : divorced/separated/married","none",4,"(if not real estate) building society savings agreement/ life insurance",32,"none","own",1,"skilled employee / official",1,"none","yes","1"
"No checking account",24,"existing credits paid back duly till now","radio/television",1901,"51 <= ... <  255 euro","1  <= ... < 4 years",4,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",29,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"No checking account",15,"critical account/other credits existing (not at this bank)","car (used)",3368,".. >= 511 euro",".. >= 7 years",3,"male   : single","none",4,"unknown / no property",23,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",12,"existing credits paid back duly till now","furniture/equipment",1574,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",2,"real estate",50,"none","own",1,"skilled employee / official",1,"none","yes","0"
">= 102 euro",18,"all credits at this bank paid back duly","radio/television",1445,"unknown/ no savings account","4  <= ... < 7 years",4,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",49,"bank","own",1,"unskilled - resident",1,"none","yes","0"
"No checking account",15,"critical account/other credits existing (not at this bank)","furniture/equipment",1520,"unknown/ no savings account",".. >= 7 years",4,"male   : single","none",4,"(if not real estate) building society savings agreement/ life insurance",63,"none","own",1,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",24,"critical account/other credits existing (not at this bank)","car (new)",3878,"51 <= ... <  255 euro","... < 1 year",4,"male   : divorced/separated","none",2,"(if not optin 1 or 2) car or other, not in attribute",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",47,"existing credits paid back duly till now","car (new)",10722,"... <  51 euro","... < 1 year",1,"female : divorced/separated/married","none",1,"real estate",35,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",48,"existing credits paid back duly till now","car (used)",4788,"... <  51 euro","4  <= ... < 7 years",4,"male   : single","none",3,"(if not real estate) building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",2,"none","yes","0"
"0 <= ... <  102 euro",48,"delay in paying off in the past","others",7582,"51 <= ... <  255 euro","unemployed",2,"male   : single","none",4,"unknown / no property",31,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",12,"existing credits paid back duly till now","radio/television",1092,"... <  51 euro","1  <= ... < 4 years",4,"female : divorced/separated/married","guarantor",4,"real estate",49,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",24,"delay in paying off in the past","radio/television",1024,"... <  51 euro","... < 1 year",4,"male   : married/widowed","none",4,"real estate",48,"stores","own",1,"skilled employee / official",1,"none","yes","1"
"No checking account",12,"existing credits paid back duly till now","business",1076,"... <  51 euro","1  <= ... < 4 years",2,"male   : married/widowed","none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","no","0"
"0 <= ... <  102 euro",36,"existing credits paid back duly till now","car (used)",9398,"... <  51 euro","... < 1 year",1,"male   : married/widowed","none",4,"(if not optin 1 or 2) car or other, not in attribute",28,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","1"
"... <  0 euro",24,"critical account/other credits existing (not at this bank)","car (used)",6419,"... <  51 euro",".. >= 7 years",2,"female : divorced/separated/married","none",4,"unknown / no property",44,"none","for free",2,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","0"
">= 102 euro",42,"critical account/other credits existing (not at this bank)","car (used)",4796,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"unknown / no property",56,"none","for free",1,"skilled employee / official",1,"none","yes","0"
"No checking account",48,"critical account/other credits existing (not at this bank)","business",7629,"unknown/ no savings account",".. >= 7 years",4,"male   : divorced/separated","none",2,"(if not optin 1 or 2) car or other, not in attribute",46,"bank","own",2,"management/ self-employed/highly qualified employee/ officer",2,"none","yes","0"
"0 <= ... <  102 euro",48,"existing credits paid back duly till now","furniture/equipment",9960,"... <  51 euro","... < 1 year",1,"female : divorced/separated/married","none",2,"(if not optin 1 or 2) car or other, not in attribute",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"No checking account",12,"existing credits paid back duly till now","car (used)",4675,"unknown/ no savings account","... < 1 year",1,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",20,"none","rent",1,"skilled employee / official",1,"none","yes","0"
"No checking account",10,"existing credits paid back duly till now","car (new)",1287,"unknown/ no savings account",".. >= 7 years",4,"male   : single","co-applicant",2,"(if not real estate) building society savings agreement/ life insurance",45,"none","own",1,"unskilled - resident",1,"none","no","0"
